"gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue",
"1639340386	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc998-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.5838	-82.971933			0.0	0.0	14.3	0.0	2012-07-26T02:00Z	26	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639339866	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc997-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.5838	-82.971933			0.0	0.0	15.5	0.0	2012-07-26T02:00Z	26	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639339415	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc996-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.711767	-82.871667			0.0	0.0	12.3	0.0	2012-08-02T02:00Z	2	8	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639338906	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc995-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.711767	-82.871667			0.0	0.0	13.1	0.0	2012-08-02T02:00Z	2	8	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639338409	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc994-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.6841	-82.9266			0.0	0.0	17.7	0.0	2012-08-01T02:00Z	1	8	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID"
"1639337906	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc993-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.684217	-82.926633			0.0	0.0	18.7	0.0	2012-08-01T02:00Z	1	8	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639337399	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc992-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.630817	-82.909067			0.0	0.0	14.8	0.0	2012-07-28T02:00Z	28	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639336877	3063fd20-83ba-4716-9a5e-07fcea584f06	108fa28c-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.630583	-82.909117			0.0	0.0	14.8	0.0	2012-07-28T02:00Z	28	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639336385	3063fd20-83ba-4716-9a5e-07fcea584f06	108fa28b-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.57355	-82.9638			0.0	0.0	19.8	0.0	2012-06-04T02:00Z	4	6	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID"
"1639335996	3063fd20-83ba-4716-9a5e-07fcea584f06	108fa28a-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.573383	-82.9639			0.0	0.0	22.1	0.0	2012-06-04T02:00Z	4	6	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
